"site","dominant_city","dominant_state","outcome","outcome_label","coefficient","coefficient_label","estimate","se","ci_lo","ci_hi","p","observations","trials"
"DT","Royal Oak","MI","w2012pc_Rec","White Share","RACE2","African American",0.0324028828515986,0.0232683263678087,-0.0145545008464842,0.0793602665496814,0.171077376713487,166,43
"DT","Royal Oak","MI","w2012pc_Rec","White Share","RACE3","Hispanic",-0.059850758677478,0.0459175515699993,-0.152516129339116,0.0328146119841599,0.199524768963053,166,43
"DT","Royal Oak","MI","percent_black","Black Share","RACE2","African American",0.0108808592762479,0.0220332161866166,-0.0335839711642063,0.0553456897167021,0.623992789754721,166,43
"DT","Royal Oak","MI","percent_black","Black Share","RACE3","Hispanic",0.00655132103936409,0.0502523818599556,-0.0948620913152578,0.107964733393986,0.896897411924816,166,43
"DT","Royal Oak","MI","percent_hispanic","Hispanic Share","RACE2","African American",-0.0172275290328513,0.00701203263856725,-0.0313783838003096,-0.00307667426539297,0.018229820081091,166,43
"DT","Royal Oak","MI","percent_hispanic","Hispanic Share","RACE3","Hispanic",0.0204607859663882,0.0128748484474149,-0.00552171011190013,0.0464432820446766,0.119514288493442,166,43
"DT","Royal Oak","MI","percent_asian","Asian Share","RACE2","African American",-0.0172115271820228,0.00862429614381154,-0.0346160614295366,0.000193007065490882,0.0524785184629605,166,43
"DT","Royal Oak","MI","percent_asian","Asian Share","RACE3","Hispanic",0.018686653168171,0.0241770095193853,-0.030104527371768,0.0674778337081099,0.44390382549412,166,43
"FW","Fort Worth","TX","w2012pc_Rec","White Share","RACE2","African American",0.128343385356159,0.0839573904616697,-0.0378586545998162,0.294545425312134,0.128934219528017,870,123
"FW","Fort Worth","TX","w2012pc_Rec","White Share","RACE3","Hispanic",0.444243153912635,0.205507778386239,0.0374199807911806,0.85106632703409,0.0325951584279913,870,123
"FW","Fort Worth","TX","w2012pc_Rec","White Share","RACE4","Asian",0.0837489826469728,0.0519763051478596,-0.0191433047079137,0.186641270001859,0.109700377447112,870,123
"FW","Fort Worth","TX","percent_black","Black Share","RACE2","African American",-0.104854482964002,0.0518038451857845,-0.20740536859892,-0.00230359732908306,0.0451472919652564,870,123
"FW","Fort Worth","TX","percent_black","Black Share","RACE3","Hispanic",-0.340507707878139,0.131947059412235,-0.601710090657267,-0.0793053250990108,0.0110461293861731,870,123
"FW","Fort Worth","TX","percent_black","Black Share","RACE4","Asian",0.0396389994228731,0.0327642185965079,-0.0252210437294831,0.104499042575229,0.228684734734338,870,123
"FW","Fort Worth","TX","percent_hispanic","Hispanic Share","RACE2","African American",-0.00448807257021277,0.038596988060041,-0.0808946654438196,0.071918520303394,0.907621523845323,870,123
"FW","Fort Worth","TX","percent_hispanic","Hispanic Share","RACE3","Hispanic",-0.0679612165939882,0.0848329872067022,-0.235896587760033,0.0999741545720566,0.424620914765936,870,123
"FW","Fort Worth","TX","percent_hispanic","Hispanic Share","RACE4","Asian",-0.0999619204323148,0.0296177564373091,-0.158593227476658,-0.0413306133879713,0.000990080232931518,870,123
"FW","Fort Worth","TX","percent_asian","Asian Share","RACE2","African American",-0.0337828690115628,0.0191867781472937,-0.0717650127004951,0.00419927467736955,0.0807886469602093,870,123
"FW","Fort Worth","TX","percent_asian","Asian Share","RACE3","Hispanic",-0.0653806902450156,0.0537802472405401,-0.171844061147369,0.0410826806573381,0.226446105159908,870,123
"FW","Fort Worth","TX","percent_asian","Asian Share","RACE4","Asian",-0.0109445816630871,0.0092487177300898,-0.0292533421577299,0.00736417883155575,0.238966447759793,870,123
"GB","Greensboro","NC","w2012pc_Rec","White Share","RACE2","African American",0.116880516580805,0.0979416390785858,-0.0791709747886421,0.312932007950253,0.237583522359582,417,59
"GB","Greensboro","NC","w2012pc_Rec","White Share","RACE3","Hispanic",-0.0229582197807375,0.0480502411819012,-0.119141227671945,0.0732247881104696,0.634591155374551,417,59
"GB","Greensboro","NC","percent_black","Black Share","RACE2","African American",-0.0598360902938517,0.0758597166890067,-0.211685811532541,0.0920136309448372,0.433457118083738,417,59
"GB","Greensboro","NC","percent_black","Black Share","RACE3","Hispanic",-0.0155732302189262,0.0410362625467369,-0.0977162344427038,0.0665697740048514,0.705703137309597,417,59
"GB","Greensboro","NC","percent_hispanic","Hispanic Share","RACE2","African American",-0.0435089138897572,0.0291270891084399,-0.101813117420378,0.0147952896408631,0.140658688845292,417,59
"GB","Greensboro","NC","percent_hispanic","Hispanic Share","RACE3","Hispanic",0.0151280136664135,0.0136178250993047,-0.0121310249308965,0.0423870522637236,0.271196423369258,417,59
"GB","Greensboro","NC","percent_asian","Asian Share","RACE2","African American",-4.56660158221949e-05,0.0165553125762688,-0.0331847246552289,0.0330933926235845,0.997808591343687,417,59
"GB","Greensboro","NC","percent_asian","Asian Share","RACE3","Hispanic",0.0195801018712803,0.00858386039544163,0.00239763843626291,0.0367625653062976,0.0262364925561383,417,59
"HS","Houston","TX","w2012pc_Rec","White Share","RACE2","African American",-0.609225758952697,0.361905603466278,-1.3263658719806,0.10791435407521,0.09511147208046,565,112
"HS","Houston","TX","w2012pc_Rec","White Share","RACE3","Hispanic",0.352504192339806,0.207864178582683,-0.0593925539263194,0.764400938605931,0.0927194761692046,565,112
"HS","Houston","TX","w2012pc_Rec","White Share","RACE4","Asian",-0.337447163654858,0.0959428911035254,-0.527564407243261,-0.147329920066455,0.0006330527694472,565,112
"HS","Houston","TX","percent_black","Black Share","RACE2","African American",0.00289774682779223,0.215055737403884,-0.423249553329974,0.429045046985559,0.989273498948284,565,112
"HS","Houston","TX","percent_black","Black Share","RACE3","Hispanic",0.0185092032177585,0.122197818740785,-0.223633932186045,0.260652338621562,0.879880568746292,565,112
"HS","Houston","TX","percent_black","Black Share","RACE4","Asian",0.13298325048761,0.0640888815324281,0.00598685334483878,0.259979647630381,0.0402997606842352,565,112
"HS","Houston","TX","percent_hispanic","Hispanic Share","RACE2","African American",0.668138558921827,0.252778037446931,0.167242002998353,1.1690351148453,0.00940072984660924,565,112
"HS","Houston","TX","percent_hispanic","Hispanic Share","RACE3","Hispanic",-0.396070871319469,0.149538943072662,-0.692392269800373,-0.0997494728385651,0.00926000858318535,565,112
"HS","Houston","TX","percent_hispanic","Hispanic Share","RACE4","Asian",0.204505296322269,0.0698116211900638,0.0661689085145329,0.342841684130005,0.00412296649095796,565,112
"HS","Houston","TX","percent_asian","Asian Share","RACE2","African American",-0.132326236817523,0.0695839515798507,-0.270211482094065,0.00555900845901883,0.05980570261528,565,112
"HS","Houston","TX","percent_asian","Asian Share","RACE3","Hispanic",0.0565704735370013,0.0397959498167044,-0.0222878576860011,0.135428804760004,0.15797112408464,565,112
"HS","Houston","TX","percent_asian","Asian Share","RACE4","Asian",-0.0169940170684511,0.0200002310807323,-0.0566258101118464,0.0226377759749441,0.39732583596286,565,112
"KC","Olathe","KS","w2012pc_Rec","White Share","RACE2","African American",0.068800680333389,0.0359928441708748,-0.00246264620591963,0.140064006872698,0.0583238514936317,537,121
"KC","Olathe","KS","w2012pc_Rec","White Share","RACE3","Hispanic",-0.153595633904652,0.0688391504743583,-0.289892360988878,-0.0172989068204263,0.027523723778166,537,121
"KC","Olathe","KS","w2012pc_Rec","White Share","RACE4","Asian",-0.086520189360928,0.0384227145444444,-0.162594490133276,-0.01044588858858,0.0261539542802563,537,121
"KC","Olathe","KS","percent_black","Black Share","RACE2","African American",-0.0343259147279189,0.0128979486494589,-0.0598629554221744,-0.00878887403366353,0.00884854095355555,537,121
"KC","Olathe","KS","percent_black","Black Share","RACE3","Hispanic",0.00633377601461429,0.0270880391645462,-0.0472986563413342,0.0599662083705628,0.815521700862615,537,121
"KC","Olathe","KS","percent_black","Black Share","RACE4","Asian",0.0495444009954732,0.0279663619363834,-0.005827049321912,0.104915851312858,0.0790041159217257,537,121
"KC","Olathe","KS","percent_hispanic","Hispanic Share","RACE2","African American",-0.0793480218402772,0.0319395826844356,-0.142586172722835,-0.0161098709577192,0.0143592252773348,537,121
